"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "PostCSS", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ProgressBar.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 2, 4, 34
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/QuestionCard.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 6, 61
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/RIASECSection.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/RadarChart.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 11, 78
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/RecommendationSkeleton.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 11, 8, 56
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/RoadmapFlow.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/RoadmapForm.jsx", "JavaScript JSX", 0, 236, 0, 0, 0, 0, 0, 0, 0, 22, 258
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/RoadmapNode.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 0, 16, 136
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/StepLayout.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/SubmitModal.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ValuesSection.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/core/action-executor.jsx", "JavaScript JSX", 0, 294, 0, 0, 0, 0, 0, 0, 31, 95, 420
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/core/command-registry.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 0, 0, 19, 29, 214
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/core/element-finder.jsx", "JavaScript JSX", 0, 216, 0, 0, 0, 0, 0, 0, 19, 42, 277
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/core/intent-processor.jsx", "JavaScript JSX", 0, 384, 0, 0, 0, 0, 0, 0, 17, 59, 460
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/core/workflow-engine.jsx", "JavaScript JSX", 0, 198, 0, 0, 0, 0, 0, 0, 15, 42, 255
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/hooks/use-voice-assistant.jsx", "JavaScript JSX", 0, 346, 0, 0, 0, 0, 0, 0, 20, 73, 439
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/index.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 5, 5, 25
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/ui/assistant-overlay.jsx", "JavaScript JSX", 0, 445, 0, 0, 0, 0, 0, 0, 241, 46, 732
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/assistant/ui/visual-indicator.jsx", "JavaScript JSX", 0, 281, 0, 0, 0, 0, 0, 0, 0, 21, 302
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/student-profile-modal.jsx", "JavaScript JSX", 0, 251, 0, 0, 0, 0, 0, 0, 7, 20, 278
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/alert.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/badge.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/button.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/card.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 0, 10, 102
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/checkbox.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/dialog.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 0, 14, 134
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/input.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/label.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/progress.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/select.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 0, 0, 14, 146
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/switch.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/tabs.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/ui/textarea.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/context/SocketContext.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 1, 19, 90
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/data/psychometricQuestions.json", "JSON", 0, 0, 0, 560, 0, 0, 0, 0, 0, 1, 561
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/index.css", "PostCSS", 0, 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
